POPRES_ID	Source	Gender	Country_Self	Country_Mother	Country_Father	Country_MGF	Country_MGM	Country_PGF	Country_PGM	PrimaryLanguage	Wave	ContOrig	Region	Cluster	tagGPconsens	tagGPnodiscord	tagGP2_2	groups3	groups4	exRelated	exPCAout	FourGPequal	exNotEuro	exThinSwissUK	exMix
3146	LOLIPOP	M	Ireland	NA	NA	NA	NA	NA	NA	NA	2	European	North Europe	United Kingdom	Ireland	Ireland	Ireland	EuropeNW	EuropeNW	0	0	NA	0	0	0
3181	LOLIPOP	M	United Kingdom	NA	NA	NA	NA	NA	NA	NA	2	European	North Europe	United Kingdom	United Kingdom	United Kingdom	United Kingdom	EuropeNW	EuropeNW	0	0	NA	0	0	0
3445	LOLIPOP	F	Cyprus	NA	NA	NA	NA	NA	NA	English	5	European	South Europe	United Kingdom	Cyprus	Cyprus	Cyprus	EuropeESE	EuropeanESE	0	0	NA	0	0	0
3556	LOLIPOP	M	Scotland	NA	NA	NA	NA	NA	NA	English	5	European	North Europe	United Kingdom	Scotland	Scotland	Scotland	EuropeNW	EuropeNW	0	0	NA	0	0	0
3708	LOLIPOP	M	Ireland	NA	NA	NA	NA	NA	NA	NA	2	European	North Europe	United Kingdom	Ireland	Ireland	Ireland	EuropeNW	EuropeNW	0	0	NA	0	0	0
3716	LOLIPOP	M	United Kingdom	NA	NA	NA	NA	NA	NA	English	5	European	North Europe	United Kingdom	United Kingdom	United Kingdom	United Kingdom	EuropeNW	EuropeNW	0	0	NA	0	0	0
4164	LOLIPOP	F	United Kingdom	NA	NA	NA	NA	NA	NA	English	5	European	North Europe	United Kingdom	United Kingdom	United Kingdom	United Kingdom	EuropeNW	EuropeNW	0	0	NA	0	0	0
4439	LOLIPOP	F	Ireland	NA	NA	NA	NA	NA	NA	English	5	European	North Europe	United Kingdom	Ireland	Ireland	Ireland	EuropeNW	EuropeNW	0	0	NA	0	0	0
4573	LOLIPOP	M	Ireland	NA	NA	NA	NA	NA	NA	NA	2	European	North Europe	United Kingdom	Ireland	Ireland	Ireland	EuropeNW	EuropeNW	0	0	NA	0	0	0
4746	LOLIPOP	F	Spain	NA	NA	NA	NA	NA	NA	Spanish	5	European	South Europe	United Kingdom	Spain	Spain	Spain	EuropeSW	EuropeSW	0	0	NA	0	0	0
4865	LOLIPOP	M	United Kingdom	NA	NA	NA	NA	NA	NA	NA	2	European	North Europe	United Kingdom	United Kingdom	United Kingdom	United Kingdom	EuropeNW	EuropeNW	0	0	NA	0	0	0
4923	LOLIPOP	F	Austria	NA	NA	NA	NA	NA	NA	German	5	European	North Europe	United Kingdom	Austria	Austria	Austria	EuropeC	EuropeC	0	0	NA	0	0	0
4982	LOLIPOP	M	United Kingdom	NA	NA	NA	NA	NA	NA	NA	2	European	North Europe	United Kingdom	United Kingdom	United Kingdom	United Kingdom	EuropeNW	EuropeNW	0	0	NA	0	0	0
5052	LOLIPOP	M	Ireland	NA	NA	NA	NA	NA	NA	English	5	European	North Europe	United Kingdom	Ireland	Ireland	Ireland	EuropeNW	EuropeNW	0	0	NA	0	0	0
5099	LOLIPOP	M	Sweden	NA	NA	NA	NA	NA	NA	NA	2	European	North Europe	United Kingdom	Sweden	Sweden	Sweden	EuropeN	EuropeNNE	0	0	NA	0	0	0
5294	LOLIPOP	F	United Kingdom	NA	NA	NA	NA	NA	NA	English	5	European	North Europe	United Kingdom	United Kingdom	United Kingdom	United Kingdom	EuropeNW	EuropeNW	0	0	NA	0	0	0
5314	LOLIPOP	M	United Kingdom	NA	NA	NA	NA	NA	NA	English	5	European	North Europe	United Kingdom	United Kingdom	United Kingdom	United Kingdom	EuropeNW	EuropeNW	0	0	NA	0	0	0
5383	LOLIPOP	M	Ireland	NA	NA	NA	NA	NA	NA	English	5	European	North Europe	United Kingdom	Ireland	Ireland	Ireland	EuropeNW	EuropeNW	0	0	NA	0	0	0
5426	LOLIPOP	M	United Kingdom	NA	NA	NA	NA	NA	NA	NA	2	European	North Europe	United Kingdom	United Kingdom	United Kingdom	United Kingdom	EuropeNW	EuropeNW	0	0	NA	0	0	0
5445	LOLIPOP	M	Ireland	NA	NA	NA	NA	NA	NA	NA	2	European	North Europe	United Kingdom	Ireland	Ireland	Ireland	EuropeNW	EuropeNW	0	0	NA	0	0	0
5560	LOLIPOP	M	United Kingdom	NA	NA	NA	NA	NA	NA	NA	2	European	North Europe	United Kingdom	United Kingdom	United Kingdom	United Kingdom	EuropeNW	EuropeNW	0	0	NA	0	0	0
5640	LOLIPOP	M	United Kingdom	NA	NA	NA	NA	NA	NA	English	5	European	North Europe	United Kingdom	United Kingdom	United Kingdom	United Kingdom	EuropeNW	EuropeNW	0	0	NA	0	0	0
5888	LOLIPOP	F	United Kingdom	NA	NA	NA	NA	NA	NA	English	5	European	North Europe	United Kingdom	United Kingdom	United Kingdom	United Kingdom	EuropeNW	EuropeNW	0	0	NA	0	0	0
6035	LOLIPOP	M	United Kingdom	NA	NA	NA	NA	NA	NA	English	5	European	North Europe	United Kingdom	United Kingdom	United Kingdom	United Kingdom	EuropeNW	EuropeNW	0	0	NA	0	0	0
6125	LOLIPOP	M	Ireland	NA	NA	NA	NA	NA	NA	English	5	European	North Europe	United Kingdom	Ireland	Ireland	Ireland	EuropeNW	EuropeNW	0	0	NA	0	0	0
6315	LOLIPOP	F	United Kingdom	NA	NA	NA	NA	NA	NA	English	5	European	North Europe	United Kingdom	United Kingdom	United Kingdom	United Kingdom	EuropeNW	EuropeNW	0	0	NA	0	0	0
6417	LOLIPOP	F	United Kingdom	NA	NA	NA	NA	NA	NA	English	5	European	North Europe	United Kingdom	United Kingdom	United Kingdom	United Kingdom	EuropeNW	EuropeNW	0	0	NA	0	0	0
6423	LOLIPOP	M	United Kingdom	NA	NA	NA	NA	NA	NA	English	5	European	North Europe	United Kingdom	United Kingdom	United Kingdom	United Kingdom	EuropeNW	EuropeNW	0	0	NA	0	0	0
6460	LOLIPOP	F	United Kingdom	NA	NA	NA	NA	NA	NA	English	5	European	North Europe	United Kingdom	United Kingdom	United Kingdom	United Kingdom	EuropeNW	EuropeNW	0	0	NA	0	0	0
6639	LOLIPOP	F	Ireland	NA	NA	NA	NA	NA	NA	English	5	European	North Europe	United Kingdom	Ireland	Ireland	Ireland	EuropeNW	EuropeNW	0	0	NA	0	0	0
6709	LOLIPOP	F	United Kingdom	NA	NA	NA	NA	NA	NA	English	5	European	North Europe	United Kingdom	United Kingdom	United Kingdom	United Kingdom	EuropeNW	EuropeNW	0	0	NA	0	0	0
6762	LOLIPOP	M	Scotland	NA	NA	NA	NA	NA	NA	NA	2	European	North Europe	United Kingdom	Scotland	Scotland	Scotland	EuropeNW	EuropeNW	0	0	NA	0	0	0
6802	LOLIPOP	F	Ireland	NA	NA	NA	NA	NA	NA	NA	2	European	North Europe	United Kingdom	Ireland	Ireland	Ireland	EuropeNW	EuropeNW	0	0	NA	0	0	0
6939	LOLIPOP	F	United Kingdom	NA	NA	NA	NA	NA	NA	NA	5	European	North Europe	United Kingdom	United Kingdom	United Kingdom	United Kingdom	EuropeNW	EuropeNW	0	0	NA	0	0	0
6985	LOLIPOP	M	United Kingdom	NA	NA	NA	NA	NA	NA	NA	2	European	North Europe	United Kingdom	United Kingdom	United Kingdom	United Kingdom	EuropeNW	EuropeNW	0	0	NA	0	0	0
7254	LOLIPOP	M	Ireland	NA	NA	NA	NA	NA	NA	NA	5	European	North Europe	United Kingdom	Ireland	Ireland	Ireland	EuropeNW	EuropeNW	0	0	NA	0	0	0
7293	LOLIPOP	F	United Kingdom	NA	NA	NA	NA	NA	NA	English	5	European	North Europe	United Kingdom	United Kingdom	United Kingdom	United Kingdom	EuropeNW	EuropeNW	0	0	NA	0	0	0
7304	LOLIPOP	F	United Kingdom	NA	NA	NA	NA	NA	NA	English	5	European	North Europe	United Kingdom	United Kingdom	United Kingdom	United Kingdom	EuropeNW	EuropeNW	0	0	NA	0	0	0
7318	LOLIPOP	F	United Kingdom	NA	NA	NA	NA	NA	NA	English	5	European	North Europe	United Kingdom	United Kingdom	United Kingdom	United Kingdom	EuropeNW	EuropeNW	0	0	NA	0	0	0
7494	LOLIPOP	F	Germany	NA	NA	NA	NA	NA	NA	English	5	European	West Europe	United Kingdom	Germany	Germany	Germany	EuropeC	EuropeC	0	0	NA	0	0	0
7795	LOLIPOP	M	United Kingdom	NA	NA	NA	NA	NA	NA	NA	2	European	North Europe	United Kingdom	United Kingdom	United Kingdom	United Kingdom	EuropeNW	EuropeNW	0	0	NA	0	0	0
7868	LOLIPOP	M	United Kingdom	NA	NA	NA	NA	NA	NA	English	5	European	North Europe	United Kingdom	United Kingdom	United Kingdom	United Kingdom	EuropeNW	EuropeNW	0	0	NA	0	0	0
8126	LOLIPOP	M	United Kingdom	NA	NA	NA	NA	NA	NA	NA	2	European	North Europe	United Kingdom	United Kingdom	United Kingdom	United Kingdom	EuropeNW	EuropeNW	0	0	NA	0	0	0
8526	LOLIPOP	M	United Kingdom	NA	NA	NA	NA	NA	NA	English	5	European	North Europe	United Kingdom	United Kingdom	United Kingdom	United Kingdom	EuropeNW	EuropeNW	0	0	NA	0	0	0
8682	LOLIPOP	M	United Kingdom	NA	NA	NA	NA	NA	NA	NA	2	European	North Europe	United Kingdom	United Kingdom	United Kingdom	United Kingdom	EuropeNW	EuropeNW	0	0	NA	0	0	0
9631	LOLIPOP	M	United Kingdom	NA	NA	NA	NA	NA	NA	NA	2	European	North Europe	United Kingdom	United Kingdom	United Kingdom	United Kingdom	EuropeNW	EuropeNW	0	0	NA	0	0	0
10060	LOLIPOP	F	Ireland	NA	NA	NA	NA	NA	NA	English	5	European	North Europe	United Kingdom	Ireland	Ireland	Ireland	EuropeNW	EuropeNW	0	0	NA	0	0	0
